Audio File,Transcription (Uppercase),Transcription (List of Words)
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_10_English.wav, NOT SURE WHAT IS THERE. HE'S HOLDING ON TO THE VINE FOR HIS BALANCE.,"['NOT', 'SURE', 'WHAT', 'IS', 'THERE.', ""HE'S"", 'HOLDING', 'ON', 'TO', 'THE', 'VINE', 'FOR', 'HIS', 'BALANCE.']"
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_11_English.wav, ME?,['ME?']
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_12_English.wav, SHALL WE GO TO THE NEXT SPEECH?,"['SHALL', 'WE', 'GO', 'TO', 'THE', 'NEXT', 'SPEECH?']"
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_13_English.wav, AND MIX.,"['AND', 'MIX.']"
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_14_English.wav," OH, IT'S THE SAME PICTURE OF THIS LITTLE ORANGUTAN.","['OH,', ""IT'S"", 'THE', 'SAME', 'PICTURE', 'OF', 'THIS', 'LITTLE', 'ORANGUTAN.']"
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_15_English.wav," LIHATLAH, DIA BERDIRI DI TENGAH-TENGAH VINA, MENANGKAP DENGAN KAKI DAN SALAH SATU TANGAN.","['LIHATLAH,', 'DIA', 'BERDIRI', 'DI', 'TENGAH-TENGAH', 'VINA,', 'MENANGKAP', 'DENGAN', 'KAKI', 'DAN', 'SALAH', 'SATU', 'TANGAN.']"
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_16_English.wav," AND LOOK, THE OTHER HAND IS REACHING OUT FOR WHAT?","['AND', 'LOOK,', 'THE', 'OTHER', 'HAND', 'IS', 'REACHING', 'OUT', 'FOR', 'WHAT?']"
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_17_English.wav, IS THAT A RAINDROP OR SEE THERE'S SOMETHING BOUNCING OFF HIS HAND?,"['IS', 'THAT', 'A', 'RAINDROP', 'OR', 'SEE', ""THERE'S"", 'SOMETHING', 'BOUNCING', 'OFF', 'HIS', 'HAND?']"
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_18_English.wav, PEACE.,['PEACE.']
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_19_English.wav," OH NO, IT'S RAINING. LOOK AT THIS WEATHER.","['OH', 'NO,', ""IT'S"", 'RAINING.', 'LOOK', 'AT', 'THIS', 'WEATHER.']"
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_20_English.wav, HE'S WORKING ON THE FLOOR.,"[""HE'S"", 'WORKING', 'ON', 'THE', 'FLOOR.']"
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_21_English.wav, THE FLOOR IS WET.,"['THE', 'FLOOR', 'IS', 'WET.']"
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_22_English.wav, AND LOOK AT HIS,"['AND', 'LOOK', 'AT', 'HIS']"
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_24_English.wav, PHO,['PHO']
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_25_English.wav, THERE'S RAIN AND WATER ON HIS FUR AND HE'S REACHING OUT FOR THE LITTLE LEAF.,"[""THERE'S"", 'RAIN', 'AND', 'WATER', 'ON', 'HIS', 'FUR', 'AND', ""HE'S"", 'REACHING', 'OUT', 'FOR', 'THE', 'LITTLE', 'LEAF.']"
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_26_English.wav," WHOA, LOOK AT THIS PICTURE ON THE RIGHT.","['WHOA,', 'LOOK', 'AT', 'THIS', 'PICTURE', 'ON', 'THE', 'RIGHT.']"
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_27_English.wav, WHAT IS HE DOING WITH THE LEAF?,"['WHAT', 'IS', 'HE', 'DOING', 'WITH', 'THE', 'LEAF?']"
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_28_English.wav, HE'S USING IT AS AN UMBRELLA.,"[""HE'S"", 'USING', 'IT', 'AS', 'AN', 'UMBRELLA.']"
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_29_English.wav, TO SHIELD HIM FROM THE RAIN.,"['TO', 'SHIELD', 'HIM', 'FROM', 'THE', 'RAIN.']"
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_30_English.wav," OKAY, NEXT.","['OKAY,', 'NEXT.']"
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_31_English.wav, WOW. AND THEN?,"['WOW.', 'AND', 'THEN?']"
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_32_English.wav, THE ORANGUTAN PLACED THE LEAF DOWN.,"['THE', 'ORANGUTAN', 'PLACED', 'THE', 'LEAF', 'DOWN.']"
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_33_English.wav, AND HE FOUND ANOTHER LEAD.,"['AND', 'HE', 'FOUND', 'ANOTHER', 'LEAD.']"
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_34_English.wav, DIA MULA BERDIRI DAN DIA MENGGUNAKAN KACANG BESAR SEBAGAI PENYELAMANNYA.,"['DIA', 'MULA', 'BERDIRI', 'DAN', 'DIA', 'MENGGUNAKAN', 'KACANG', 'BESAR', 'SEBAGAI', 'PENYELAMANNYA.']"
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_35_English.wav," WHAT A SMART ORANG UTANG, RIGHT?","['WHAT', 'A', 'SMART', 'ORANG', 'UTANG,', 'RIGHT?']"
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_37_English.wav," OH, ARE YOU TIRED?","['OH,', 'ARE', 'YOU', 'TIRED?']"
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_38_English.wav," OKAY, LET'S GO THROUGH THESE, ALL RIGHT?","['OKAY,', ""LET'S"", 'GO', 'THROUGH', 'THESE,', 'ALL', 'RIGHT?']"
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_39_English.wav, PEACE.,['PEACE.']
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_40_English.wav," OH, COOL.","['OH,', 'COOL.']"
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_41_English.wav, HE DROPPED THE BIGGER LEAF AGAIN AND HE STOOD UP.,"['HE', 'DROPPED', 'THE', 'BIGGER', 'LEAF', 'AGAIN', 'AND', 'HE', 'STOOD', 'UP.']"
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_42_English.wav, AND REACH A LITTLE HIGHER.,"['AND', 'REACH', 'A', 'LITTLE', 'HIGHER.']"
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_43_English.wav, WHAT IS HE GETTING?,"['WHAT', 'IS', 'HE', 'GETTING?']"
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_45_English.wav,,[]
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_46_English.wav, PEACE. PEACE.,"['PEACE.', 'PEACE.']"
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_48_English.wav, NO!,['NO!']
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_49_English.wav," SHE'S GETTING A BIG EARLY, OKAY?","[""SHE'S"", 'GETTING', 'A', 'BIG', 'EARLY,', 'OKAY?']"
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_52_English.wav, ARE YOU TIRED?,"['ARE', 'YOU', 'TIRED?']"
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_54_English.wav," OKAY, LET'S FINISH THIS, OKAY?","['OKAY,', ""LET'S"", 'FINISH', 'THIS,', 'OKAY?']"
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_56_English.wav, HOORAY!,['HOORAY!']
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_58_English.wav,,[]
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_59_English.wav," OKAY, ONE MORE MINUTE.","['OKAY,', 'ONE', 'MORE', 'MINUTE.']"
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_60_English.wav, ARE YOU READY?,"['ARE', 'YOU', 'READY?']"
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_62_English.wav, TERIMA KASIH KERANA MENONTON!,"['TERIMA', 'KASIH', 'KERANA', 'MENONTON!']"
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_64_English.wav,,[]
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_67_English.wav,,[]
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_68_English.wav, KITA LIHAT APA YANG BERLAKU DENGAN HUJAN.,"['KITA', 'LIHAT', 'APA', 'YANG', 'BERLAKU', 'DENGAN', 'HUJAN.']"
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_69_English.wav, THERE'S LIGHTNING.,"[""THERE'S"", 'LIGHTNING.']"
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_70_English.wav, IS IT BECOMING A KIND OF SONG?,"['IS', 'IT', 'BECOMING', 'A', 'KIND', 'OF', 'SONG?']"
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_72_English.wav, LOOK AT THIS AURA.,"['LOOK', 'AT', 'THIS', 'AURA.']"
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_73_English.wav, LOOK AT HIS FACE! HE'S SO TERRIFIED!,"['LOOK', 'AT', 'HIS', 'FACE!', ""HE'S"", 'SO', 'TERRIFIED!']"
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_74_English.wav, IT'S SO TERRIFYING.,"[""IT'S"", 'SO', 'TERRIFYING.']"
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_75_English.wav, AND THEN HE'S STARTING TO THROW AWAY THE BIG LEAF AND HE'S WALKING AWAY.,"['AND', 'THEN', ""HE'S"", 'STARTING', 'TO', 'THROW', 'AWAY', 'THE', 'BIG', 'LEAF', 'AND', ""HE'S"", 'WALKING', 'AWAY.']"
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_77_English.wav, BYE.,['BYE.']
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_79_English.wav, OKAY.,['OKAY.']
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_80_English.wav, I LOVE YOU.,"['I', 'LOVE', 'YOU.']"
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_81_English.wav," AS HE WALKED AWAY, WHAT DID HE SEE?","['AS', 'HE', 'WALKED', 'AWAY,', 'WHAT', 'DID', 'HE', 'SEE?']"
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_82_English.wav," WOW, LIHATLAH BENDA WARNA PINK ITU.","['WOW,', 'LIHATLAH', 'BENDA', 'WARNA', 'PINK', 'ITU.']"
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_83_English.wav, SINCE LOOKING AT THEM,"['SINCE', 'LOOKING', 'AT', 'THEM']"
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_84_English.wav, AND LOOKING TO ITS DAY.,"['AND', 'LOOKING', 'TO', 'ITS', 'DAY.']"
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_85_English.wav, DAN DIA BERDIRI DI BAWAH SALAH SEORANG DARIPADANYA.,"['DAN', 'DIA', 'BERDIRI', 'DI', 'BAWAH', 'SALAH', 'SEORANG', 'DARIPADANYA.']"
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_86_English.wav, HE LOOKS LIKE AN UMBRELLA.,"['HE', 'LOOKS', 'LIKE', 'AN', 'UMBRELLA.']"
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_88_English.wav, I'M NOT SURE WHY HE'S DEAD.,"[""I'M"", 'NOT', 'SURE', 'WHY', ""HE'S"", 'DEAD.']"
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_89_English.wav," OKAY, NEXT.","['OKAY,', 'NEXT.']"
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_91_English.wav,,[]
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_92_English.wav, WOO!,['WOO!']
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_93_English.wav, LOOK AT WHAT HE'S DOING!,"['LOOK', 'AT', 'WHAT', ""HE'S"", 'DOING!']"
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_94_English.wav, WE THOUGHT IT WAS AN UMBRELLA AND A HEAT POP-UP.,"['WE', 'THOUGHT', 'IT', 'WAS', 'AN', 'UMBRELLA', 'AND', 'A', 'HEAT', 'POP-UP.']"
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_95_English.wav, IT LOOKS LIKE A FLAMINGO NOW.,"['IT', 'LOOKS', 'LIKE', 'A', 'FLAMINGO', 'NOW.']"
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_96_English.wav, AND LOOK AT THE AROUND WITH THAT.,"['AND', 'LOOK', 'AT', 'THE', 'AROUND', 'WITH', 'THAT.']"
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_98_English.wav, HE LOOKS A LITTLE SCARED.,"['HE', 'LOOKS', 'A', 'LITTLE', 'SCARED.']"
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_99_English.wav, BYE.,['BYE.']
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_100_English.wav, AND HE'S STARTING TO WALK AWAY WHILE IT'S STILL RAINING.,"['AND', ""HE'S"", 'STARTING', 'TO', 'WALK', 'AWAY', 'WHILE', ""IT'S"", 'STILL', 'RAINING.']"
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_102_English.wav," OKAY, NEXT.","['OKAY,', 'NEXT.']"
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_103_English.wav, AWW.,['AWW.']
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_105_English.wav, OKAY.,['OKAY.']
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_106_English.wav," OH, DAN DIA MULA BERJALAN KE ARAH OBJEK LAIN YANG NAMPAK SEPERTI PENYELAMAT UNTUK DIA.","['OH,', 'DAN', 'DIA', 'MULA', 'BERJALAN', 'KE', 'ARAH', 'OBJEK', 'LAIN', 'YANG', 'NAMPAK', 'SEPERTI', 'PENYELAMAT', 'UNTUK', 'DIA.']"
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_109_English.wav, LOOK AT THE GREEN COLOR,"['LOOK', 'AT', 'THE', 'GREEN', 'COLOR']"
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_110_English.wav, LOOK AT THIS,"['LOOK', 'AT', 'THIS']"
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_111_English.wav," OKAY, AND HE WALKS OVER.","['OKAY,', 'AND', 'HE', 'WALKS', 'OVER.']"
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_112_English.wav, DAN DIA BERADA DI BAWAH SALAH SATUNYA.,"['DAN', 'DIA', 'BERADA', 'DI', 'BAWAH', 'SALAH', 'SATUNYA.']"
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_113_English.wav," OKAY, NEXT.","['OKAY,', 'NEXT.']"
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_114_English.wav, OH DIA MENEMBUS KAKI ELEFANT. LIHATLAH ITU.,"['OH', 'DIA', 'MENEMBUS', 'KAKI', 'ELEFANT.', 'LIHATLAH', 'ITU.']"
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_116_English.wav, OKAY.,['OKAY.']
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_117_English.wav, THANK YOU.,"['THANK', 'YOU.']"
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_119_English.wav," AW, ARE YOU PLAYING?","['AW,', 'ARE', 'YOU', 'PLAYING?']"
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_120_English.wav, OKAY.,['OKAY.']
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_121_English.wav, IT'S OKAY. ALL RIGHT.,"[""IT'S"", 'OKAY.', 'ALL', 'RIGHT.']"
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_122_English.wav, HE'S HUGGING A LEG OF AN ELEPHANT.,"[""HE'S"", 'HUGGING', 'A', 'LEG', 'OF', 'AN', 'ELEPHANT.']"
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_124_English.wav, ALL RIGHT.,"['ALL', 'RIGHT.']"
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_125_English.wav, AND THE ELEPHANT IS LOOKING AT HIM.,"['AND', 'THE', 'ELEPHANT', 'IS', 'LOOKING', 'AT', 'HIM.']"
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_126_English.wav," OKAY, THE ORANGUTAN SEEMS LIKE HE'S SCARED.","['OKAY,', 'THE', 'ORANGUTAN', 'SEEMS', 'LIKE', ""HE'S"", 'SCARED.']"
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_128_English.wav, OKAY.,['OKAY.']
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_130_English.wav,,[]
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_131_English.wav, THANK YOU.,"['THANK', 'YOU.']"
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_133_English.wav, LET'S GO TO THE NEXT PAGE.,"[""LET'S"", 'GO', 'TO', 'THE', 'NEXT', 'PAGE.']"
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_134_English.wav," OH, PULL AROUND WITH THAT.","['OH,', 'PULL', 'AROUND', 'WITH', 'THAT.']"
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_135_English.wav, AND HE'S JUST WALKING IN THE ROOM.,"['AND', ""HE'S"", 'JUST', 'WALKING', 'IN', 'THE', 'ROOM.']"
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_137_English.wav,,[]
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_138_English.wav, NO PEOPLE SHOUTING!,"['NO', 'PEOPLE', 'SHOUTING!']"
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_139_English.wav,,[]
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_140_English.wav, ARE YOU OKAY?,"['ARE', 'YOU', 'OKAY?']"
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_142_English.wav," OKAY, YOU WANT TO SLEEP NOW.","['OKAY,', 'YOU', 'WANT', 'TO', 'SLEEP', 'NOW.']"
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_143_English.wav,,[]
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_144_English.wav,,[]
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_145_English.wav, I THINK THE STORY IS FINISHING.,"['I', 'THINK', 'THE', 'STORY', 'IS', 'FINISHING.']"
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_147_English.wav, EVERY FRIDAY AT 8PM,"['EVERY', 'FRIDAY', 'AT', '8PM']"
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_148_English.wav,,[]
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_151_English.wav, AND SO SHOUT OUT TO...,"['AND', 'SO', 'SHOUT', 'OUT', 'TO...']"
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_152_English.wav," YEAH, YO!","['YEAH,', 'YO!']"
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_153_English.wav," OKAY, OKAY, OKAY, OKAY. YOU'RE TIRED, RIGHT?","['OKAY,', 'OKAY,', 'OKAY,', 'OKAY.', ""YOU'RE"", 'TIRED,', 'RIGHT?']"
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_155_English.wav," OKAY, SEE YOU NOW.","['OKAY,', 'SEE', 'YOU', 'NOW.']"
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_156_English.wav, THE RAIN HAS STOPPED.,"['THE', 'RAIN', 'HAS', 'STOPPED.']"
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_157_English.wav, FPS TEAM IN THE CENTER COMES WITH YOU.,"['FPS', 'TEAM', 'IN', 'THE', 'CENTER', 'COMES', 'WITH', 'YOU.']"
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_158_English.wav, THANK YOU.,"['THANK', 'YOU.']"
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_160_English.wav, OKAY.,['OKAY.']
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_161_English.wav, THE END.,"['THE', 'END.']"
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_163_English.wav, GOOD JOB.,"['GOOD', 'JOB.']"
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_164_English.wav,,[]
