file_name,Transcription Zipformer,Transcription whisper
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_32_English.wav,THE ORANGUTAN PLACED THE LEAF DOWN,THE ORANGE THE LEAVE NOW
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_33_English.wav,AND HE FOUND ANOTHER LEAD,AND HE FOUND ANOTHER LEAF
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_34_English.wav,DIA MULA BERDIRI DAN DIA MENGGUNAKAN KACANG BESAR SEBAGAI PENYELAMANNYA,HE STARTED STANDING UP AND USED BIGGER LEAF AS HE SHOULDER
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_35_English.wav,WHAT A SMART ORANG UTANG RIGHT,WHAT A SMALL ORANGE
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_37_English.wav,OH ARE YOU TIRED,我 呀
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_38_English.wav,OKAY LETS GO THROUGH THESE ALL RIGHT,CAN YOU LETS GO TO THISALY
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_39_English.wav,PEACE,WEEKS
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_40_English.wav,OH COOL,哦 不
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_41_English.wav,HE DROPPED THE BIGGER LEAF AGAIN AND HE STOOD UP,HE DREW THE BIG LEAF AGAIN AND HE STOOD UP
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_42_English.wav,AND REACH A LITTLE HIGHER,I WISH A LITTLE HIGHER
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_43_English.wav,WHAT IS HE GETTING,呃 WHAT IS HE AGAIN
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_45_English.wav,,嗯 无 论
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_46_English.wav,PEACE PEACE,HES EATING ANOTHER
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_48_English.wav,NO,啊 咱 们
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_49_English.wav,SHES GETTING A BIG EARLY OKAY,HES GETTING A BIGGER LEAN OK
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_52_English.wav,ARE YOU TIRED,嗯 OVER YOU CAN
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_54_English.wav,OKAY LETS FINISH THIS OKAY,OH YOU LETS ME THIS AGAIN
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_56_English.wav,HOORAY,嗯 嗯
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_58_English.wav,,嗯
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_59_English.wav,OKAY ONE MORE MINUTE,可 以 往 后 面 呢
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_60_English.wav,ARE YOU READY,哦 又 忍 的 意 思
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_62_English.wav,TERIMA KASIH KERANA MENONTON,嗯 HE STORY OK
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_64_English.wav,,嗯
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_67_English.wav,,然 后 别 人 家 务 行
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_68_English.wav,KITA LIHAT APA YANG BERLAKU DENGAN HUJAN,E D WHAT HAPPENED TO THE RAIN
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_69_English.wav,THERES LIGHTNING,THIS LIGHTNING
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_70_English.wav,IS IT BECOMING A KIND OF SONG,IS IT BECOMING A FAMOUS OR
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_72_English.wav,LOOK AT THIS AURA,LOOK AT THIS ARRANGE
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_73_English.wav,LOOK AT HIS FACE HES SO TERRIFIED,AND LOOKING HIS FACE IS SO TERRIFY
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_74_English.wav,ITS SO TERRIFYING,ITS SO VERY
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_75_English.wav,AND THEN HES STARTING TO THROW AWAY THE BIG LEAF AND HES WALKING AWAY,AND THAT HE STOPPING TO GO AWAY THE BELIEF IS WALKING AWAY
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_77_English.wav,BYE,嗯
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_79_English.wav,OKAY,OK
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_80_English.wav,I LOVE YOU,然 后 LUCKY
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_81_English.wav,AS HE WALKED AWAY WHAT DID HE SEE,AND SHE WALKED AWAY WHAT DID HE SEE
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_82_English.wav,WOW LIHATLAH BENDA WARNA PINK ITU,比 娃 为 了 都 SING COLOURSING
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_83_English.wav,SINCE LOOKING AT THEM,IT IS LOOKING HERE THAN
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_84_English.wav,AND LOOKING TO ITS DAY,AND WALKING TO THE STORE
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_85_English.wav,DAN DIA BERDIRI DI BAWAH SALAH SEORANG DARIPADANYA,AND THEN HE STOOD UNDER ONE OF THEM
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_86_English.wav,HE LOOKS LIKE AN UMBRELLA,HE LOOKS LIKE AN UMBRELLA
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_88_English.wav,IM NOT SURE WHY HES DEAD,EXPERIENCE
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_89_English.wav,OKAY NEXT,OKMINIX
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_91_English.wav,,美 国
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_92_English.wav,WOO,MOOD
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_93_English.wav,LOOK AT WHAT HES DOING,嗯
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_94_English.wav,WE THOUGHT IT WAS AN UMBRELLA AND A HEAT POPUP,HE THOUGHT HE WAS AN UMBRELLA AND A HEAT PAUPER OF
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_95_English.wav,IT LOOKS LIKE A FLAMINGO NOW,IT IT LOOKS LIKE FLAMING WATER NOW
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_96_English.wav,AND LOOK AT THE AROUND WITH THAT,NOW YOU LOOK AT ALL AROUND WITH THAT
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_98_English.wav,HE LOOKS A LITTLE SCARED,HE LOOKS A LITTLE SCARED
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_99_English.wav,BYE,嗯
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_100_English.wav,AND HES STARTING TO WALK AWAY WHILE ITS STILL RAINING,AND HES BEDDING TO WALK AWAY WHILE ITS BEEN RAINING
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_102_English.wav,OKAY NEXT,OPINIONS
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_103_English.wav,AWW,FOR
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_105_English.wav,OKAY,哦 可 以
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_106_English.wav,OH DAN DIA MULA BERJALAN KE ARAH OBJEK LAIN YANG NAMPAK SEPERTI PENYELAMAT UNTUK DIA,OH AND HE STUDYING THE WORK WAS OTHER OBJECTS THAT SEEMS LIKE SHOULDER FOR HIM
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_109_English.wav,LOOK AT THE GREEN COLOR,你 别 再 归 开 来 了
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_110_English.wav,LOOK AT THIS,HAVE THE GIVEN
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_111_English.wav,OKAY AND HE WALKS OVER,OKAY AND HE WAS OVER
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_112_English.wav,DAN DIA BERADA DI BAWAH SALAH SATUNYA,AND HE STANDS UNDER ONE OF YOU
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_113_English.wav,OKAY NEXT,OK
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_114_English.wav,OH DIA MENEMBUS KAKI ELEFANT LIHATLAH ITU,OH HES HUGGING THE NAME OF ANYONE TODAY
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_116_English.wav,OKAY,OK
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_117_English.wav,THANK YOU,嗯
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_119_English.wav,AW ARE YOU PLAYING,哦 哇 又 快 呀
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_120_English.wav,OKAY,嗯 行
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_121_English.wav,ITS OKAY ALL RIGHT,SOKY ALL RIGHT
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_122_English.wav,HES HUGGING A LEG OF AN ELEPHANT,BESIDE IN THE LEAGUE OF ELEPHANT
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_124_English.wav,ALL RIGHT,ALL RIGHT
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_125_English.wav,AND THE ELEPHANT IS LOOKING AT HIM,AND ELEPHANT IS LOOKING AT HIM
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_126_English.wav,OKAY THE ORANGUTAN SEEMS LIKE HES SCARED,OK THE OLD ONE WOULD DANCINGS LIKE HIS SKIN IS A
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_128_English.wav,OKAY,L K 肯 定 是 像
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_130_English.wav,,哎
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_131_English.wav,THANK YOU,填
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_133_English.wav,LETS GO TO THE NEXT PAGE,LASTATION
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_134_English.wav,OH PULL AROUND WITH THAT,然 后 PULL OVER WITH
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_135_English.wav,AND HES JUST WALKING IN THE ROOM,AND HES JUST WORKING IN THE
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_137_English.wav,,对
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_138_English.wav,NO PEOPLE SHOUTING,嗯 合 适 啊 那 个
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_139_English.wav,,嗯
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_140_English.wav,ARE YOU OKAY,L C
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_142_English.wav,OKAY YOU WANT TO SLEEP NOW,HE WANT TO SPEAK 啊
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_143_English.wav,,哎 呀
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_144_English.wav,,百 分
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_145_English.wav,I THINK THE STORY IS FINISHING,I THINK THE STORY FISHING
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_147_English.wav,EVERY FRIDAY AT 8PM,唉 喜 欢 什 么 呀
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_148_English.wav,,嗯
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_151_English.wav,AND SO SHOUT OUT TO,AS SHE SHALL FEEL
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_152_English.wav,YEAH YO,哎 呦
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_153_English.wav,OKAY OKAY OKAY OKAY YOURE TIRED RIGHT,LOOK HERE CARE OK 别 翻 译 RIGHT
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_155_English.wav,OKAY SEE YOU NOW,OK NOW
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_156_English.wav,THE RAIN HAS STOPPED,THE RAIN HAS FALLEN
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_157_English.wav,FPS TEAM IN THE CENTER COMES WITH YOU,HE AND THE SUNSHINE
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_158_English.wav,THANK YOU,代 理
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_160_English.wav,OKAY,嗯 可 以
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_161_English.wav,THE END,BE AS
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_163_English.wav,GOOD JOB,OKAY THE JAR OF
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_164_English.wav,,啊
TTS_P91182TT_VCST_ECxxx_02_AO_42311225_v001_R004_CRR_MERLIon-CCS_segment_165_English.wav,ALL RIGHT Z,UNRAZING
TTS_P91182TT_VCST_ECxxx_02_AO_42311225_v001_R004_CRR_MERLIon-CCS_segment_166_English.wav,BOLEH AWAK LIHAT GAMBAR INI,CAN YOU SEE THIS POOR GIRL
TTS_P91182TT_VCST_ECxxx_02_AO_42311225_v001_R004_CRR_MERLIon-CCS_segment_167_English.wav,SO THIS PICTURE IS A PICTURE,THIS PICTURE IS A PICTURE
TTS_P91182TT_VCST_ECxxx_02_AO_42311225_v001_R004_CRR_MERLIon-CCS_segment_168_English.wav,DAN ADA BANYAKBANYAK ORANG DI DALAM,AND THERES MANY MANY PEOPLE INSIDE
TTS_P91182TT_VCST_ECxxx_02_AO_42311225_v001_R004_CRR_MERLIon-CCS_segment_169_English.wav,SEE YOU LATER,CLEAN
TTS_P91182TT_VCST_ECxxx_02_AO_42311225_v001_R004_CRR_MERLIon-CCS_segment_170_English.wav,LETS START FROM HERE LOOK AT THIS THIS GUY,LETS UP FROM HERE LOOK AT THIS THIS GUY
TTS_P91182TT_VCST_ECxxx_02_AO_42311225_v001_R004_CRR_MERLIon-CCS_segment_171_English.wav,HES WRITING ON WHAT IS THIS,HES WRITING ON WHAT IS THIS
TTS_P91182TT_VCST_ECxxx_02_AO_42311225_v001_R004_CRR_MERLIon-CCS_segment_172_English.wav,BICYCLE WE RIDE BICYCLE TOO RIGHT,BICKER WE WRITE BICKER TO REST
TTS_P91182TT_VCST_ECxxx_02_AO_42311225_v001_R004_CRR_MERLIon-CCS_segment_173_English.wav,GRAB BICYCLE TO SCHOOL,WOULD YOU BETCY GO TO SCHOOL
TTS_P91182TT_VCST_ECxxx_02_AO_42311225_v001_R004_CRR_MERLIon-CCS_segment_174_English.wav,AND YOU SEE IN FRONT YOU LIKE IT,AND YOU SEE IN FRIEND YOU LIKE IT
TTS_P91182TT_VCST_ECxxx_02_AO_42311225_v001_R004_CRR_MERLIon-CCS_segment_175_English.wav,RIGHT,人
TTS_P91182TT_VCST_ECxxx_02_AO_42311225_v001_R004_CRR_MERLIon-CCS_segment_176_English.wav,AND LOOK AT HERE OVER AT THE PEDESTRIAN CROSSING,AND GET HERE OVER AT THE PEDATION CROSSING
TTS_P91182TT_VCST_ECxxx_02_AO_42311225_v001_R004_CRR_MERLIon-CCS_segment_177_English.wav,SOMEONE IS CROSSING THE TRAFFIC LIGHT,SOMEONE IS CROSSING THE TRAFFIC LINE
TTS_P91182TT_VCST_ECxxx_02_AO_42311225_v001_R004_CRR_MERLIon-CCS_segment_178_English.wav,THIS IS A LADY WITH LONG HAIR,IT IS A LADY WITH LONG HANDS
TTS_P91182TT_VCST_ECxxx_02_AO_42311225_v001_R004_CRR_MERLIon-CCS_segment_179_English.wav,SHES HOLDING ON TO A SUITCASE,SHES HOLDING ON TO A SUIT CASE
TTS_P91182TT_VCST_ECxxx_02_AO_42311225_v001_R004_CRR_MERLIon-CCS_segment_180_English.wav,MAYBE SHES A TAURIS,SMASH IS A TORY
TTS_P91182TT_VCST_ECxxx_02_AO_42311225_v001_R004_CRR_MERLIon-CCS_segment_181_English.wav,MAYBE SHES TRAVELING HERE,SHE WISHES TRAVELLING HERE
TTS_P91182TT_VCST_ECxxx_02_AO_42311225_v001_R004_CRR_MERLIon-CCS_segment_182_English.wav,SO SHES CROSSING FROM ONE SIDE TO THE OTHER SIDE,SO HE SHE IS CROSSING FROM ONE SIDE TO THE OTHER SIDE
TTS_P91182TT_VCST_ECxxx_02_AO_42311225_v001_R004_CRR_MERLIon-CCS_segment_183_English.wav,OH LOOK AT WHAT SHE HAS ON HER NECK,OH LOOK AT WHAT HE SHE HAVE ON HER NECK
TTS_P91182TT_VCST_ECxxx_02_AO_42311225_v001_R004_CRR_MERLIon-CCS_segment_184_English.wav,DI ATAS JARI DIA ADA INI KAMERA,A RAPINE IS THIS CAMERA
TTS_P91182TT_VCST_ECxxx_02_AO_42311225_v001_R004_CRR_MERLIon-CCS_segment_185_English.wav,SEE IN CHINESE ITS CALLED,PLAY IN CHINESES COWYN
TTS_P91182TT_VCST_ECxxx_02_AO_42311225_v001_R004_CRR_MERLIon-CCS_segment_186_Mandarin.wav,CHAO SIANJI,照 相 机
TTS_P91182TT_VCST_ECxxx_02_AO_42311225_v001_R004_CRR_MERLIon-CCS_segment_187_English.wav,YOU LIKE TO TAKE PHOTOS ISNT IT,YOU LIKE TO TAKE FOOD DOING ANYTHING
TTS_P91182TT_VCST_ECxxx_02_AO_42311225_v001_R004_CRR_MERLIon-CCS_segment_190_English.wav,ONE TWO THREE SMILE,WANT TO TREATISE
